title,artist,chart_entry_date,peak_rank,top10,stream_window,window_length,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness
Christmas Time,Bryan Adams,2017-11-25,10,1,"[2822, 3555, 9752, 35965, 22496, 2327, 2689, 3188, 17549, 4697, 39615, 20173, 32558, 54635, 4962, 17625, 6292, 18561, 77718, 52927, 8226]",21,0.503,0.582,0.326,77.321,0.472,0.0,0.103,-4.324,0.0253
Christmas Time,The Platters,2017-12-22,56,0,"[2140, 1989, 6223, 35069, 3040, 3960, 1171, 1314, 240265, 1597, 1240, 1420, 2229, 3984, 1509, 45789, 16240, 7315, 1698, 438370, 1002]",21,0.299,0.377,0.378,69.272,0.859,0.0,0.116,-7.425,0.0283
Christmas Time Is Here,Brett Eldredge,2018-12-22,92,0,"[2632, 3145, 6465, 15482, 56060, 1529, 5405, 41921, 1248, 1133, 7321, 1244, 16963, 3367, 17308, 1814, 1773, 287714, 151824, 7696, 2697]",21,0.322,0.301,0.234,74.518,0.921,0.000799,0.168,-11.993,0.0325
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,2017-11-23,6,1,"[181897, 214452, 231838, 23399, 259427, 266002, 238567, 249624, 260472, 297516, 26112, 38790, 2176, 1021, 1382, 362670, 374425, 1221, 1044, 2362, 499248]",21,0.375,0.139,0.0878,75.993,0.977,8.61e-06,0.0984,-19.789,0.0324
Christmas Without You,Ava Max,2020-11-22,25,0,"[4353, 33210, 4597, 5156, 5734, 10436, 7064, 12604, 66921, 18616, 2719, 8565, 35460, 12128, 130001, 12746, 35928, 170242, 2768, 21246, 11267]",21,0.654,0.596,0.382,118.078,0.424,0.0,0.11,-4.68,0.0458
Christmas Without You,OneRepublic,2017-12-03,58,0,"[3078, 51418, 2645, 52293, 3487, 3442, 55591, 3011, 3415, 4319, 6398, 80658, 20611, 6214, 16917, 41293, 13020, 242735, 3140, 70365, 36376]",21,0.262,0.677,0.365,207.478,0.447,0.0,0.205,-5.645,0.0528
Chupadinha,Os Barões Da Pisadinha,2019-12-25,62,0,"[139346, 129044, 83491, 81726, 78515, 78147, 85709, 118420, 108388, 86442, 83350, 75261, 83555, 83387, 77887, 70226, 77139, 73528, 79182, 102664, 92017]",21,0.724,0.844,0.967,172.096,0.646,0.0,0.0744,-6.39,0.0402
Chá De Casa Nova - Ao Vivo,Henrique & Juliano,2021-12-10,58,0,"[303134, 280073, 207185, 208727, 221224, 224371, 227301, 224805, 229162, 184288, 168306, 173692, 179914, 197277, 239894, 215479, 165601, 150893, 153095, 158298, 166994]",21,0.55,0.695,0.602,77.824,0.492,0.0,0.601,-3.86,0.123
Ciao Adios,Anne-Marie,2017-02-10,5,1,"[15197, 4656, 32674, 3513, 3643, 4307, 20793, 20193, 3691, 12299, 68991, 6125, 1080, 541458, 45065, 11707, 11957, 1185, 2410, 4588, 10076]",21,0.694,0.853,0.501,106.098,0.136,0.0,0.322,-3.986,0.0934
Cicatrices,Natos y Waor,2017-11-28,23,0,"[47419, 34794, 29321, 30525, 22996, 20897, 22705, 32950, 32765, 33521, 29619, 28661, 27452, 30181, 29283, 28180, 27871, 26481, 25386, 25107, 27777]",21,0.713,0.647,0.281,120.036,0.728,0.0,0.139,-8.314,0.346
Cielo De Un Solo Color,No Te Va Gustar,2018-06-13,1,1,"[1122, 1566, 3522, 1341, 1105, 1058, 3318, 1752, 1560, 1491, 1346, 3672, 2031, 3108, 3833, 4666, 12732, 5693, 4570, 3734, 3891]",21,0.603,0.715,0.564,95.016,0.04,0.0,0.195,-7.254,0.037
Cielo hermético,Fito y Fitipaldis,2021-08-27,132,0,"[54852, 55436, 45840, 35195, 39701, 42804, 42218]",7,0.554,0.784,0.689,167.386,0.199,1.24e-05,0.084,-7.591,0.0696
Cigarette Daydreams,Cage The Elephant,2017-02-07,108,0,"[2206, 1883, 2283, 204889, 210545, 213808, 214790, 224195, 213150, 203818, 217426, 217372, 223486, 223438, 228806, 219708, 211532, 221453, 224832, 232956, 238096]",21,0.636,0.676,0.273,113.98,0.0807,0.0,0.0831,-3.442,0.0263
